Date,Category
1991-05-08,extraordinary
1991-05-09,extraordinary
1991-05-10,extraordinary
1991-05-11,extraordinary
1991-08-08,extraordinary
1991-08-09,extraordinary
1991-09-25,extraordinary
1991-09-26,extraordinary
1991-09-27,extraordinary
1991-09-28,extraordinary
1991-09-29,extraordinary
1991-10-04,cat0
1991-12-01,extraordinary
1991-12-02,extraordinary
1991-12-03,extraordinary
1991-12-04,extraordinary
1991-12-11,cat0
1992-06-01,extraordinary
1992-06-02,extraordinary
1992-06-10,extraordinary
1992-06-16,extraordinary
1992-06-22,extraordinary
1992-07-11,extraordinary
1992-09-26,extraordinary
1992-09-27,extraordinary
1992-09-28,extraordinary
1993-05-18,cat0
1993-05-19,cat0
1993-05-20,cat0
1993-05-21,cat0
1993-05-22,cat0
1993-05-23,cat0
1993-05-24,cat0
1993-05-25,cat0
1993-05-26,cat0
1993-05-27,cat0
1993-05-28,cat0
1993-05-29,cat0
1993-08-15,cat0
1993-08-24,cat0
1993-08-26,cat0
1993-09-06,cat0
1993-09-11,extraordinary
1993-09-22,extraordinary
1993-09-23,extraordinary
1993-09-24,extraordinary
1993-09-30,extraordinary
1993-10-26,cat0
1994-09-14,extraordinary
1994-09-17,extraordinary
1994-09-23,extraordinary
1994-09-29,cat0
1994-10-09,major_catastrophic
1994-10-10,major_catastrophic
1994-10-11,major_catastrophic
1994-10-18,extraordinary
1994-10-19,extraordinary
1994-10-20,extraordinary
1994-10-27,cat0
1994-11-04,catastrophic
1995-08-06,cat0
1995-08-24,extraordinary
1995-09-18,cat0
1995-09-21,catastrophic
1995-10-23,cat0
1996-01-21,extraordinary
1996-01-22,extraordinary
1996-01-23,extraordinary
1996-01-24,extraordinary
1996-01-28,extraordinary
1996-01-29,extraordinary
1996-01-30,extraordinary
1996-04-17,cat0
1996-08-14,cat0
1996-09-02,extraordinary
1996-09-03,extraordinary
1996-09-04,extraordinary
1996-09-05,extraordinary
1996-09-17,cat0
1996-10-14,extraordinary
1996-11-18,cat0
1996-12-05,extraordinary
1996-12-06,extraordinary
1996-12-09,cat0
1997-01-10,extraordinary
1997-01-22,cat0
1997-06-19,cat0
1997-07-02,cat0
1997-07-03,cat0
1997-07-11,cat0
1997-09-13,cat0
1997-09-21,cat0
1997-10-06,extraordinary
1997-10-23,cat0
1997-11-06,cat0
1997-11-07,cat0
1997-11-26,cat0
1997-12-17,cat0
1997-12-18,cat0
1998-01-27,cat0
1998-05-28,cat0
1998-08-13,cat0
1998-08-18,cat0
1998-08-19,cat0
1998-08-20,cat0
1998-08-28,extraordinary
1998-09-25,extraordinary
1998-12-02,extraordinary
1998-12-03,extraordinary
1999-05-03,cat0
1999-06-15,extraordinary
1999-07-29,extraordinary
1999-08-11,extraordinary
1999-09-03,extraordinary
1999-09-07,extraordinary
1999-09-13,extraordinary
1999-09-14,extraordinary
1999-10-17,cat0
1999-11-10,extraordinary
1999-11-11,extraordinary
1999-11-12,extraordinary
1999-11-13,extraordinary
1999-11-14,extraordinary
2000-06-09,major_catastrophic
2000-06-10,major_catastrophic
2000-07-10,extraordinary
2000-08-04,cat0
2000-09-19,extraordinary
2000-10-21,major_catastrophic
2000-10-22,major_catastrophic
2000-10-23,major_catastrophic
2000-12-23,cat0
2000-12-24,cat0
2001-01-16,extraordinary
2001-07-09,cat0
2001-07-14,cat0
2001-07-16,cat0
2001-08-31,cat0
2001-09-22,cat0
2001-11-12,extraordinary
2001-11-13,extraordinary
2001-11-14,extraordinary
2001-11-15,extraordinary
2002-04-09,extraordinary
2002-04-10,extraordinary
2002-04-11,extraordinary
2002-04-12,extraordinary
2002-07-16,cat0
2002-07-31,catastrophic
2002-08-01,catastrophic
2002-08-10,extraordinary
2002-08-26,extraordinary
2002-09-12,extraordinary
2002-09-13,extraordinary
2002-09-16,extraordinary
2002-09-17,extraordinary
2002-09-23,extraordinary
2002-10-08,catastrophic
